site,mx,my,mz,atom
314,-0.6546273,0.6401608,-0.40206623,1
315,-0.85670507,0.5145538,-0.03592897,1
316,-0.95616883,0.2101163,0.20394197,1
317,-0.9606028,-0.16457838,0.2239558,1
318,-0.87142766,-0.49036244,0.012591066,1
319,-0.6773745,-0.64526904,-0.35325885,1
320,-0.42000416,-0.5742398,-0.7027412,1
321,-0.19650635,-0.37411833,-0.90632266,1
322,-0.047105756,-0.1828294,-0.98201555,1
323,0.044567402,-0.05595809,-0.99743795,1
324,0.091657355,0.009085715,-0.9957492,1
325,0.09199982,0.033024777,-0.99521124,1
326,0.04266195,0.037008595,-0.9984039,1
327,-0.045040593,0.03219473,-0.99846625,1
328,-0.14157282,0.017954538,-0.989765,1
329,-0.21012774,-0.0070417197,-0.9776486,1
330,-0.22496572,-0.03141323,-0.9738602,1
331,-0.18208392,-0.030774755,-0.9828013,1
332,-0.09362071,0.019284213,-0.9954212,1
333,0.031603772,0.12987727,-0.9910263,1
334,0.2041526,0.28796417,-0.9356273,1
335,0.43789002,0.43616948,-0.7861352,1
336,0.69723976,0.47237155,-0.53918624,1
337,0.8980804,0.33270326,-0.28768066,1
338,0.985119,0.06021968,-0.16097885,1
339,0.9465998,-0.23379616,-0.2220095,1
340,0.788704,-0.43368784,-0.43573046,1
341,0.5488981,-0.47020444,-0.69109964,1
342,0.31131548,-0.36408812,-0.87779415,1
343,0.14475471,-0.19555308,-0.9699511,1
344,0.05282106,-0.009021721,-0.9985633,1
345,0.007971465,0.21334246,-0.976945,1
346,-0.017368725,0.5086429,-0.86080235,1
347,-0.04194443,0.8418873,-0.53802085,1
348,-0.0680165,0.9971733,0.03192432,1
349,-0.08260102,0.8023813,0.59106797,1
350,-0.08479765,0.40602237,0.90992045,1
351,-0.082930654,-0.034855906,0.9959456,1
352,-0.08070578,-0.4737102,0.87697506,1
353,-0.07481705,-0.8526313,0.517129,1
354,-0.05768641,-0.99611133,-0.06659244,1
355,-0.03326654,-0.7940304,-0.6069671,1
356,-0.017802283,-0.45969242,-0.88789976,1
357,-0.022062197,-0.18434493,-0.982614,1
358,-0.05874481,0.014325331,-0.99817026,1
359,-0.14831835,0.17241627,-0.9737938,1
360,-0.3102909,0.30380458,-0.90078986,1
361,-0.5338074,0.37215236,-0.7593104,1
362,-0.7535322,0.31977895,-0.57439595,1
363,-0.89057326,0.13895498,-0.4330945,1
364,-0.9020186,-0.10304346,-0.41921893,1
365,-0.7831303,-0.30020976,-0.5445926,1
366,-0.5665311,-0.3682836,-0.7371633,1
367,-0.32223356,-0.30003127,-0.8978568,1
368,-0.112128906,-0.1626226,-0.98029643,1
369,0.054849423,-0.03187906,-0.99798566,1
370,0.1932933,0.04882996,-0.9799252,1
