site,mx,my,mz,atom
373,0.33052108,-0.02524564,-0.9434609,1
374,0.24662372,-0.0671994,-0.96677864,1
375,0.1345075,-0.08030272,-0.9876534,1
376,0.03672601,-0.06786641,-0.9970182,1
377,-0.018650016,-0.034531347,-0.9992296,1
378,-0.024153173,0.028900653,-0.99929047,1
379,0.018258063,0.14526853,-0.9892238,1
380,0.11367085,0.33700716,-0.93461496,1
381,0.2794276,0.5870899,-0.7597668,1
382,0.5053853,0.7691056,-0.3912318,1
383,0.70168394,0.7078589,0.08108834,1
384,0.8024055,0.4070249,0.43643585,1
385,0.99986464,-0.0029567885,-0.016185505,1
386,0.9397756,-0.31776753,-0.12587933,1
387,0.76471275,-0.51035655,-0.39338344,1
388,0.5135879,-0.5147003,-0.68652093,1
389,0.2785922,-0.3710754,-0.885827,1
390,0.12246461,-0.17480068,-0.97695816,1
391,0.03700688,0.03587752,-0.99867076,1
392,-0.011710535,0.28794318,-0.95757586,1
393,-0.05539035,0.61004126,-0.79043126,1
394,-0.11189926,0.9171498,-0.3825113,1
395,-0.16544986,0.96147734,0.21951686,1
396,-0.18861455,0.6778711,0.71057403,1
397,-0.1908097,0.25547165,0.9478005,1
398,-0.18849106,-0.19011883,0.9634967,1
399,-0.18374321,-0.6202676,0.7625658,1
400,-0.16309704,-0.9373953,0.3077165,1
401,-0.11385001,-0.94796956,-0.29730776,1
402,-0.059822526,-0.666411,-0.74318075,1
403,-0.029617311,-0.34759066,-0.9371785,1
404,-0.031744666,-0.11075227,-0.9933409,1
405,-0.07636598,0.057924382,-0.9953959,1
406,-0.18082787,0.1913969,-0.9647116,1
407,-0.35508713,0.2906344,-0.888507,1
408,-0.5713626,0.3153519,-0.7576925,1
409,-0.7583756,0.22624753,-0.61129254,1
410,-0.8478785,0.040239446,-0.52866143,1
411,-0.8091032,-0.1650588,-0.5640102,1
412,-0.65228933,-0.29541937,-0.6980301,1
413,-0.42830047,-0.2996544,-0.8525056,1
414,-0.20541799,-0.20149684,-0.95770687,1
415,-0.017604101,-0.068610355,-0.9974882,1
416,0.14363249,0.04020676,-0.988814,1
417,0.28587702,0.090894066,-0.95394576,1
418,0.390325,0.074390784,-0.9176668,1
419,0.42657882,0.010856053,-0.9043852,1
420,0.38190228,-0.059329577,-0.9222964,1
421,0.27559218,-0.101122536,-0.955941,1
422,0.15088993,-0.10416989,-0.9830467,1
423,0.05101094,-0.077422336,-0.9956926,1
424,-0.0014503539,-0.02722186,-0.9996284,1
